"Card_ID";"Navn";"Arbejdssted_ID";"Vejadresse";"Postnummer";"Bynavn";"Aabningstid";"Telefon";"Faellespostkasse";"Web";"Url"
"39";"Børnehuset Havrevænget";"224";"Degnebakken 7";"3660";"Stenløse";"";"";"";"havrevaenget.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.17B"
"67";"Børnehuset Hindbærvangen";"121";"Hindbærvangen 222";"2765";"Smørum";"";"";"";"hindbaervangen.dk";"http://www.hindbaervangen.dk"
"62";"Børnehuset Hvidehøj";"204";"Lillestræde 5";"3660";"Stenløse";"";"";"";"hvidehoj.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.5A"
"44";"Børnehuset Jordbærvangen";"109";"Jordbærvangen 1";"2765";"Smørum";"";"";"";"jordbaervangen.dk";"http://www.jordbaervangen.dk/"
"45";"Børnehuset Junglen";"123";"Blomsterhaven 2-4";"2765";"Smørum";"";"";"";"junglen.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.A"
"56";"Børnehuset Karmsten";"336";"Mimosevej 7";"3650";"Ølstykke";"";"";"";"karmsten.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.CD"
"28";"Børnehuset Kildeholm";"318";"Visbyvej 9";"3650";"Ølstykke";"";"";"";"kildeholm-bhv.dk";"http://www.kildeholm-bhv.dk"
"48";"Børnehuset Mælkebøtten";"105";"Flodvej 15";"2765";"Smørum";"";"";"";"bh-maelkeboetten.dk";"http://www.bh-maelkeboetten.dk"
"37";"Børnehuset Mælkevejen";"219";"Slotsgyden 7";"3670";"Veksø";"";"";"";"bh-maelkevejen.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.17F"
"30";"Børnehuset Maglehøj";"301";"Agervænget 38";"3650";"Ølstykke";"";"";"";"bh-maglehoej.dk";"http://www.bh-maglehoej.dk"
"60";"Børnehuset Margrethebakken";"303";"Dr. Margrethes Vej 1A";"3650";"Ølstykke";"";"";"";"margrethebakken.dk";"http://www.margrethebakken.dk"
"47";"Børnehuset Mariehønen";"102";"Ledøje Søndre Gade 7";"2765";"Smørum";"";"";"";"bh-mariehoenen.dk";"http://www.bh-mariehoenen.dk"
"57";"Børnehuset Marienlyst";"327";"Gammel Roskildevej 2A";"3650";"Ølstykke";"";"";"";"bi-marienlyst.dk";"http://www.bi-marienlyst.dk"
"176";"Børnehuset Paletten";"345";"Udlejrevej 13A";"3650";"Ølstykke";"";"";"";"bh-paletten.dk";"http://www.bh-paletten.dk"
"49";"Børnehuset Regnbuen";"126";"Råbrovej 16";"2765";"Smørum";"";"";"";"bh-regnbuen.dk";"http://www.bh-regnbuen.dk"
"51";"Børnehuset Solsikken";"130";"Kongevænget 2";"2765";"Smørum";"";"";"";"bornehusetsolsikken.dk";"http://www.bornehusetsolsikken.dk"
"52";"Børnehuset Stangkær";"110";"Flodvej 17";"2765";"Smørum";"";"";"";"stangkaer.dk";"http://www.stangkaer.dk"
"32";"Børnehuset Stengården";"319";"Stengårds Plads 6A";"3650";"Ølstykke";"";"";"";"bh-stengaarden.dk";"http://www.bh-stengaarden.dk"
"36";"Børnehuset Stjernehuset";"222";"Blomstervej 25";"3660";"Slagslunde";"";"";"";"blomsterhaven.egeborn.dk";"http://egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.17E"
"34";"Børnehuset Troldehøj";"302";"Bakkevej 7";"3650";"Ølstykke";"";"";"";"troldehoej-bh.dk";"http://www.troldehoej-bh.dk/"
"58";"Børnehuset Tryllefløjten";"328";"Hampelandvej 3";"3650";"Ølstykke";"";"";"";"int-tryllefloejten.dk";"http://www.int-tryllefloejten.dk"
"177";"Børnehuset Vandfaldet";"240";"Torvet 1";"3660";"Stenløse";"";"";"";"vandfaldet.dk";"http://www.vandfaldet.dk"
"212";"Botilbuddet Broen";"233";"Slotsgyden 2";"3670";"Veksø";"";"";"";"";""
"69";"Byggelegepladsen Egelund";"127";"Hassellunden 2C";"2765";"Smørum";"";"";"";"byg-egelund.dk";"http://www.byg-egelund.dk"
"70";"Byggelegepladsen Sødalen";"101";"Åkandehaven 5";"2765";"Smørum";"";"";"";"soedalen.dk";"http://www.soedalen.dk"
"18";"Byggelegepladsen Stengården";"307";"Stengårds Plads 6B";"3650";"Ølstykke";"";"";"";"stengaardens-byggelegeplads.dk";"http://www.stengaardens-byggelegeplads.dk"
"220";"CEI Teknisk Service";"400T";"Dronning Dagmars Vej 200";"3650";"Ølstykke";"";"7259  6000";"";"";""
"146";"Dagplejeadministrationen";"116";"Kratkær 6";"2765";"Smørum";"";"";"";"dagplejen.egekom.dk";"egedal.inst.dk/Foresides/IntraForeside.aspx?Location=IP.D3&t=area"
"118";"Dambo";"235D";"Damgårdsparken 40";"3660";"Stenløse";"";"";"";"egedalsocialpsykiatri.dk";"http://egedalsocialpsykiatri.dk/"
"234";"Demensdagcenter Vores Hus";"235V";"Damgårdsparken 9";"3660";"Stenløse";"";"";"";"";""
"221";"Distriktsskole Ganløse";"226";"Bygaden 1";"3660";"Ganløse";"";"";"";"www.distriktsskole-ganloese.dk";"http://www.distriktsskole-ganloese.dk"
"224";"Distriktsskole Ølstykke";"335";"Skelbækvej 8A";"3650";"Ølstykke";"";"";"";"www.distriktsskole-oelstykke.dk";"http://www.distriktsskole-oelstykke.dk"
